"","series","episode","baker","technical","result","signature_bake","show_stopper","last_name","baker_age","baker_occupation","hometown"
"546",6,2,"Tamal",8,"IN","Cinnamon, Maple and Cranberry Biscotti","Chessboard Box","Ray",29,"Trainee anaesthetist","Manchester"
"547",6,2,"Ugnė",7,"IN","White Wine Biscotti","Baby Climbing into the Cookie Box","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"548",6,2,"Marie",11,"OUT","Biscotti Italiano","Russian Box","Campbell",66,"Retired","Auchterarder, Perthshire"
"549",6,2,"Ian",3,"STAR BAKER","Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"550",6,2,"Stu",NA,NA,NA,NA,"Henshall",35,"Professional musician","Guildford, Surrey"
"551",6,3,"Alvin",4,"IN","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia","Magallanes",37,"Nurse","Bracknell, Berkshire"
"552",6,3,"Flora",2,"IN","Fig and Hazelnut Rye Breads","Herb Couture","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"553",6,3,"Mat",8,"IN","Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion","Riley",37,"Fire fighter","London"
"554",6,3,"Nadiya",9,"IN","Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket","Hussain",30,"Full-time mother","Leeds / Luton"
"555",6,3,"Paul",10,"IN","Cranberry and Orange Sweet Soda Breads","King of the Jungle","Jagger",49,"Prison governor","Swansea, Wales"
"556",6,3,"Sandy",7,"IN","Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"557",6,3,"Tamal",3,"IN","Fig, Cheese and Walnut Breads","Breadcycle","Ray",29,"Trainee anaesthetist","Manchester"
"558",6,3,"Ugnė",5,"IN","Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"559",6,3,"Dorret",6,"OUT","Walnut and Stilton Soda Breads","Unmade Bread","Conway",53,"Accountant","Penwortham, Lancashire"
"560",6,3,"Ian",1,"STAR BAKER","Wild Garlic Pesto Soda Breads","Flour Power","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"561",6,3,"Marie",NA,NA,NA,NA,"Campbell",66,"Retired","Auchterarder, Perthshire"
"562",6,3,"Stu",NA,NA,NA,NA,"Henshall",35,"Professional musician","Guildford, Surrey"
"563",6,4,"Alvin",9,"IN","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes","Magallanes",37,"Nurse","Bracknell, Berkshire"
"564",6,4,"Flora",3,"IN","Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"565",6,4,"Mat",7,"IN","Coconut Crème Brûlées","Chocolate Bar Cheesecakes","Riley",37,"Fire fighter","London"
"566",6,4,"Nadiya",8,"IN","Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes","Hussain",30,"Full-time mother","Leeds / Luton"
"567",6,4,"Paul",1,"IN","Almond Crème Brûlées","Berry Cheesecake Tower","Jagger",49,"Prison governor","Swansea, Wales"
"568",6,4,"Tamal",5,"IN","Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio","Ray",29,"Trainee anaesthetist","Manchester"
"569",6,4,"Ugnė",2,"IN","Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"570",6,4,"Sandy",6,"OUT","Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"571",6,4,"Ian",4,"STAR BAKER","Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"572",6,4,"Dorret",NA,NA,NA,NA,"Conway",53,"Accountant","Penwortham, Lancashire"
"573",6,4,"Marie",NA,NA,NA,NA,"Campbell",66,"Retired","Auchterarder, Perthshire"
"574",6,4,"Stu",NA,NA,NA,NA,"Henshall",35,"Professional musician","Guildford, Surrey"
"575",6,5,"Alvin",8,"IN","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll","Magallanes",37,"Nurse","Bracknell, Berkshire"
"576",6,5,"Flora",3,"IN","Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"577",6,5,"Ian",5,"IN","Honey and Flowers Cake","Dessert Island","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"578",6,5,"Mat",4,"IN","Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll","Riley",37,"Fire fighter","London"
"579",6,5,"Paul",2,"IN","Carrot & Pecan Cake","Dessert Island Getaway","Jagger",49,"Prison governor","Swansea, Wales"
"580",6,5,"Tamal",7,"IN","Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll","Ray",29,"Trainee anaesthetist","Manchester"
"581",6,5,"Ugnė",6,"OUT","Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"582",6,5,"Nadiya",1,"STAR BAKER","Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll","Hussain",30,"Full-time mother","Leeds / Luton"
"583",6,5,"Dorret",NA,NA,NA,NA,"Conway",53,"Accountant","Penwortham, Lancashire"
"584",6,5,"Marie",NA,NA,NA,NA,"Campbell",66,"Retired","Auchterarder, Perthshire"
"585",6,5,"Sandy",NA,NA,NA,NA,"Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"586",6,5,"Stu",NA,NA,NA,NA,"Henshall",35,"Professional musician","Guildford, Surrey"
"587",6,6,"Flora",2,"IN","Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"588",6,6,"Ian",3,"IN","Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"589",6,6,"Nadiya",4,"IN","Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents","Hussain",30,"Full-time mother","Leeds / Luton"
"590",6,6,"Paul",5,"IN","Christmas Frangipane Tart","Savoury and Sweet Bouchées","Jagger",49,"Prison governor","Swansea, Wales"
"591",6,6,"Tamal",7,"IN","Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents","Ray",29,"Trainee anaesthetist","Manchester"
"592",6,6,"Alvin",6,"OUT","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents","Magallanes",37,"Nurse","Bracknell, Berkshire"
"593",6,6,"Mat",1,"STAR BAKER","Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents","Riley",37,"Fire fighter","London"
"594",6,6,"Dorret",NA,NA,NA,NA,"Conway",53,"Accountant","Penwortham, Lancashire"
"595",6,6,"Marie",NA,NA,NA,NA,"Campbell",66,"Retired","Auchterarder, Perthshire"
"596",6,6,"Sandy",NA,NA,NA,NA,"Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"597",6,6,"Stu",NA,NA,NA,NA,"Henshall",35,"Professional musician","Guildford, Surrey"
"598",6,6,"Ugnė",NA,NA,NA,NA,"Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
